COMPANY NAME,CITY,LATITUDE,LONGITUDE,PRIMARY NAICS DESCRIPTION
Carl's Jr,Burlington,48.456913,-122.335731,Limited-Service Restaurants
Carl's Jr,Chehalis,46.60411,-122.907504,Limited-Service Restaurants
Carl's Jr,Covington,47.357779,-122.114579,Limited-Service Restaurants
Carl's Jr,Gig Harbor,47.308616,-122.578612,Limited-Service Restaurants
Carl's Jr,Kennewick,46.220584,-119.22282,Limited-Service Restaurants
Carl's Jr,Kennewick,46.20977,-119.159647,Limited-Service Restaurants
Carl's Jr,Lacey,47.040297,-122.837806,Limited-Service Restaurants
Carl's Jr,Lakewood,47.161931,-122.520045,Limited-Service Restaurants
Carl's Jr,Liberty Lake,47.66934,-117.106335,Limited-Service Restaurants
Carl's Jr,Marysville,48.10052,-122.182591,Limited-Service Restaurants
Carl's Jr,Moses Lake,47.100514,-119.247035,Limited-Service Restaurants
Carl's Jr,Renton,47.488132,-122.157708,Limited-Service Restaurants
Carl's Jr,Ritzville,47.113313,-118.366069,Limited-Service Restaurants
Carl's Jr,Spokane,47.678286,-117.436221,Limited-Service Restaurants
Carl's Jr,Spokane,47.76961,-117.402844,Limited-Service Restaurants
Carl's Jr,Spokane,47.719968,-117.410538,Limited-Service Restaurants
Carl's Jr,Spokane,47.653104,-117.422731,Limited-Service Restaurants
Carl's Jr,Spokane Valley,47.656795,-117.217201,Limited-Service Restaurants
Carl's Jr,Sunnyside,46.320072,-119.987686,Limited-Service Restaurants
Carl's Jr,Tacoma,47.255813,-122.518353,Limited-Service Restaurants
Carl's Jr,Vancouver,45.611328,-122.504699,Limited-Service Restaurants
Carl's Jr,Vancouver,45.641522,-122.619002,Limited-Service Restaurants
Carl's Jr,Vancouver,45.688146,-122.659838,Limited-Service Restaurants
Caspers Pizza,Belfair,47.450634,-122.826838,Full-Service Restaurants
Cellar Door,Port Townsend,48.114186,-122.757136,Full-Service Restaurants
Center St Deli Mart,Tacoma,47.231458,-122.486446,Limited-Service Restaurants
Champion Gourmet Svc,Kent,47.438848,-122.222265,Limited-Service Restaurants
Chester's Chicken,Cashmere,47.523383,-120.469682,Limited-Service Restaurants
Chester's Chicken,Silverdale,47.687401,-122.669371,Limited-Service Restaurants
Chick Fil A,Bellevue,47.616794,-122.186212,Limited-Service Restaurants
Chick-Fil-A,Bothell,47.791201,-122.216387,Limited-Service Restaurants
Chick-Fil-A,Kirkland,47.70948,-122.178855,Limited-Service Restaurants
Chick-Fil-A,Tacoma,47.22158,-122.468979,Limited-Service Restaurants
Chicos Pizza Parlor,Seaview,46.33093,-124.054403,Full-Service Restaurants
China Buffet,Sunnyside,46.318559,-119.986299,Limited-Service Restaurants
China Buffet,Walla Walla,46.0481,-118.34773,Limited-Service Restaurants
China Buffet,Wenatchee,47.438985,-120.323227,Limited-Service Restaurants
China Buffet,Yakima,46.585365,-120.545337,Limited-Service Restaurants
China Express,Auburn,47.273928,-122.2281,Limited-Service Restaurants
Chipotle Mexican Grill,Bellevue,47.61379,-122.200174,Limited-Service Restaurants
Chipotle Mexican Grill,Bellevue,47.574724,-122.168728,Limited-Service Restaurants
Chipotle Mexican Grill,Burlington,48.452871,-122.335554,Limited-Service Restaurants
Chipotle Mexican Grill,Everett,47.90906,-122.225453,Limited-Service Restaurants
Chipotle Mexican Grill,Federal Way,47.316374,-122.313817,Limited-Service Restaurants
Chipotle Mexican Grill,Issaquah,47.54437,-122.050306,Limited-Service Restaurants
Chipotle Mexican Grill,Kennewick,46.221218,-119.223249,Limited-Service Restaurants
Chipotle Mexican Grill,Kent,47.385099,-122.235357,Limited-Service Restaurants
Chipotle Mexican Grill,Lacey,47.057726,-122.764642,Limited-Service Restaurants
Chipotle Mexican Grill,Lynnwood,47.829707,-122.272485,Limited-Service Restaurants
Chipotle Mexican Grill,Lynnwood,47.820602,-122.288991,Limited-Service Restaurants
Chipotle Mexican Grill,Puyallup,47.146694,-122.292314,Limited-Service Restaurants
Chipotle Mexican Grill,Redmond,47.66669,-122.102235,Limited-Service Restaurants
Chipotle Mexican Grill,Sammamish,47.606124,-122.036288,Limited-Service Restaurants
Chipotle Mexican Grill,Seattle,47.721153,-122.294249,Limited-Service Restaurants
Chipotle Mexican Grill,Seattle,47.613516,-122.32085,Limited-Service Restaurants
Chipotle Mexican Grill,Seattle,47.620197,-122.338417,Limited-Service Restaurants
Chipotle Mexican Grill,Seattle,47.661772,-122.298112,Limited-Service Restaurants
Chipotle Mexican Grill,Seattle,47.70624,-122.326036,Limited-Service Restaurants
Chipotle Mexican Grill,Seattle,47.659223,-122.313346,Limited-Service Restaurants
Chipotle Mexican Grill,Seattle,47.56005,-122.38674,Limited-Service Restaurants
Chipotle Mexican Grill,Silverdale,47.658968,-122.697723,Limited-Service Restaurants
Chipotle Mexican Grill,Spokane,47.66588,-117.41073,Limited-Service Restaurants
Chipotle Mexican Grill,Tacoma,47.215878,-122.468245,Limited-Service Restaurants
Chipotle Mexican Grill,Tukwila,47.449374,-122.262351,Limited-Service Restaurants
Chipotle Mexican Grill,Tukwila,47.457546,-122.258703,Limited-Service Restaurants
Chipotle Mexican Grill,Vancouver,45.621403,-122.553011,Limited-Service Restaurants
Chipotle Mexican Grill,Vancouver,45.653134,-122.586514,Limited-Service Restaurants
Chipotle Mexican Grill,Vancouver,45.678201,-122.66675,Limited-Service Restaurants
Chipotle Mexican Grill,Vancouver,45.615161,-122.504133,Limited-Service Restaurants
Chipotle Mexican Grill,Woodinville,47.754535,-122.155973,Limited-Service Restaurants
Chipotle Mexican Grill,Yakima,46.575545,-120.490475,Limited-Service Restaurants
Chuck E Cheese's,Bellevue,47.630487,-122.145038,Limited-Service Restaurants
Chuck E Cheese's,Burlington,48.461366,-122.341076,Limited-Service Restaurants
Chuck E Cheese's,Kent,47.370672,-122.203432,Limited-Service Restaurants
Chuck E Cheese's,Lynnwood,47.82375,-122.28401,Limited-Service Restaurants
Chuck E Cheese's,Olympia,47.041491,-122.933776,Limited-Service Restaurants
Chuck E Cheese's,Richland,46.236703,-119.221844,Limited-Service Restaurants
Chuck E Cheese's,Silverdale,47.65936,-122.683553,Limited-Service Restaurants
Chuck E Cheese's,Spokane,47.749003,-117.396117,Limited-Service Restaurants
Chuck E Cheese's,Spokane Valley,47.657696,-117.203818,Limited-Service Restaurants
Chuck E Cheese's,Tacoma,47.211912,-122.463531,Limited-Service Restaurants
Chuck E Cheese's,Vancouver,45.650211,-122.594405,Limited-Service Restaurants
Church's Chicken,Des Moines,47.387191,-122.296841,Limited-Service Restaurants
Church's Chicken,Federal Way,47.316808,-122.313908,Limited-Service Restaurants
Church's Chicken,Lakewood,47.151151,-122.503974,Limited-Service Restaurants
Church's Chicken,Olympia,47.054424,-122.776435,Limited-Service Restaurants
Ciao,Coupeville,48.218836,-122.685787,Full-Service Restaurants
Cicchittis Pizza Inc,Bellingham,48.75102,-122.47577,Full-Service Restaurants
City Limits Deli Mart,Sumner,47.210876,-122.226318,Limited-Service Restaurants
City Sandwich,Vancouver,45.627075,-122.670898,Limited-Service Restaurants
Co Creek Pizza,Manson,47.912037,-120.197891,Full-Service Restaurants
Co-Op Deli,Mt Vernon,48.420715,-122.336425,Limited-Service Restaurants
Coconut Kenny's-Sedro Wooley,Sedro Woolley,48.50475,-122.2389,Full-Service Restaurants
Coconut Kennys,Bellingham,48.759577,-122.464511,Full-Service Restaurants
Coffee Cove Cafe,Woodland,45.900695,-122.747375,Limited-Service Restaurants
Colin Pizza,Ellensburg,46.995857,-120.548383,Full-Service Restaurants
Company Creek Pizza,Chelan,47.870144,-120.227009,Full-Service Restaurants
Cornuto By Via Tribunali,Seattle,47.682639,-122.355235,Full-Service Restaurants
Cosmo's,Port Orchard,47.520032,-122.628535,Limited-Service Restaurants
Country Corner Grocery & Deli,Eastsound,48.696235,-122.885465,Limited-Service Restaurants
Country Cupboard,Dayton,46.321954,-117.974929,Limited-Service Restaurants
Cousin Vinnie's NY Pizza Cafe,Friday Harbor,48.532749,-123.018177,Full-Service Restaurants
Crickets Deli,Spokane,47.657578,-117.421602,Limited-Service Restaurants
Cruisers Pizza,Packwood,46.608328,-121.672314,Full-Service Restaurants
Cruisin Coffee,Anacortes,48.51175,-122.611002,Limited-Service Restaurants
Cucina Pizza,Port Ludlow,47.920652,-122.702066,Full-Service Restaurants
Dashing Dutchman Deli,Monroe,47.862032,-121.976523,Limited-Service Restaurants
Del Taco,College Place,46.033081,-118.379699,Limited-Service Restaurants
Del Taco,Federal Way,47.291734,-122.312915,Limited-Service Restaurants
Del Taco,Vancouver,45.685729,-122.66101,Limited-Service Restaurants
Delaurenti Specialty Food & Wn,Seattle,47.608702,-122.340015,Limited-Service Restaurants
Deli,Yakima,46.59433,-120.522888,Limited-Service Restaurants
Deli At The Store,Anacortes,48.492242,-122.612582,Limited-Service Restaurants
Deli USA,Fife,47.243117,-122.363715,Limited-Service Restaurants
Delicatus,Seattle,47.601716,-122.334331,Limited-Service Restaurants
Delridge Deli,Seattle,47.568727,-122.363204,Limited-Service Restaurants
Deluxe Office Deli,Lynnwood,47.809885,-122.295777,Limited-Service Restaurants
Detroit Pizza,Battle Ground,45.781315,-122.533814,Full-Service Restaurants
